"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.195333038E0	7.461199909E-2	-6.608000025E-3	3.288500011E-2	8.180488558E-2
1.200178609E0	5.847600102E-2	-1.026600040E-2	2.898900025E-2	6.606962687E-2
1.205024147E0	4.231199995E-2	-1.338400040E-2	2.561799996E-2	5.124176742E-2
1.209869686E0	2.765600011E-2	-1.517700031E-2	2.126000077E-2	3.804186264E-2
1.214715453E0	1.388799958E-2	-1.673799939E-2	1.796600036E-2	2.821018123E-2
1.219560993E0	4.023999907E-3	-1.671100035E-2	1.558499970E-2	2.320220514E-2
1.224406532E0	-5.400000140E-3	-1.611400023E-2	1.221300010E-2	2.092793292E-2
1.229252154E0	-1.421600021E-2	-1.569999941E-2	9.898000397E-3	2.337851696E-2
1.234097695E0	-2.203500085E-2	-1.581599936E-2	8.812000044E-3	2.851908909E-2
1.238943233E0	-2.854599990E-2	-1.520700008E-2	7.304999977E-3	3.315855827E-2
1.243789010E0	-3.362699971E-2	-1.465499960E-2	4.503000062E-3	3.695701736E-2
1.248634551E0	-3.673399985E-2	-1.351200044E-2	5.380000221E-4	3.914396946E-2
1.253480089E0	-3.890100121E-2	-1.298000012E-2	-3.272000002E-3	4.113969230E-2
1.258325727E0	-3.973999992E-2	-1.178800035E-2	-7.660999894E-3	4.215347513E-2
1.263171267E0	-3.875099868E-2	-1.064400002E-2	-1.302400045E-2	4.224404363E-2
1.268016806E0	-3.566199914E-2	-8.770000190E-3	-1.846400090E-2	4.110487094E-2
1.272862573E0	-3.146599978E-2	-7.271999959E-3	-2.409199998E-2	4.029163174E-2
1.277708114E0	-2.696100064E-2	-5.944999866E-3	-2.980799973E-2	4.062948962E-2
1.282553727E0	-2.188800089E-2	-4.627999850E-3	-3.489200026E-2	4.144821646E-2
1.287399267E0	-1.744600013E-2	-3.574999981E-3	-3.806500137E-2	4.202484830E-2
1.292244806E0	-1.395700034E-2	-3.050999949E-3	-3.875299916E-2	4.130255928E-2
1.297090573E0	-1.225099992E-2	-1.737999963E-3	-3.751400113E-2	3.950199898E-2
1.301936104E0	-1.088599954E-2	-6.880000001E-4	-3.409700096E-2	3.579921513E-2
1.306781642E0	-1.049599983E-2	-9.970000247E-4	-2.944800071E-2	3.127850328E-2
1.311627255E0	-1.082300022E-2	-1.052999985E-3	-2.407000028E-2	2.641232773E-2
1.316472806E0	-1.057399996E-2	-2.056000056E-3	-1.836200058E-2	2.128848695E-2
1.321318573E0	-1.075700019E-2	-2.155000111E-3	-1.315699983E-2	1.713078291E-2
1.326163883E0	-9.243999608E-3	-1.787999994E-3	-9.312000126E-3	1.324242497E-2
1.331009650E0	-7.267999928E-3	-1.047000056E-3	-5.661999807E-3	9.272447028E-3
1.335855191E0	-6.132999901E-3	1.820000034E-4	-2.741999924E-3	6.720518981E-3
1.340700804E0	-4.970000125E-3	2.125000115E-3	-1.364000025E-3	5.574676924E-3
1.345546339E0	-4.486999940E-3	3.103999887E-3	-1.028000028E-3	5.552005747E-3
1.350391878E0	-4.356000107E-3	3.250000067E-3	-2.162999939E-3	5.849427844E-3
1.355237645E0	-3.228999907E-3	2.982999897E-3	-3.518000012E-3	5.630368804E-3
1.360083186E0	-1.497999998E-3	2.641000086E-3	-6.390000228E-3	7.074672315E-3
1.364928724E0	-1.644999953E-3	2.816000022E-3	-9.197999723E-3	9.759051177E-3
1.369774337E0	-1.444000052E-3	2.187999897E-3	-1.112500019E-2	1.142970293E-2
1.374619868E0	-3.006000072E-3	1.687000040E-3	-1.247499976E-2	1.294247367E-2
1.379465406E0	-4.894999787E-3	1.988000004E-3	-1.489700004E-2	1.580613100E-2
1.384311174E0	-5.704000127E-3	2.036999911E-3	-1.734399982E-2	1.837115445E-2
1.389156700E0	-5.903999787E-3	7.360000163E-4	-2.607000060E-2	2.674030368E-2
1.394002239E0	-1.658000052E-3	4.292000085E-3	-5.565299839E-2	5.584287294E-2
1.398847852E0	3.843999933E-3	1.147800032E-2	-6.603799760E-2	6.713820041E-2
1.403693387E0	8.565999568E-3	1.122600026E-2	-5.072399974E-2	5.265285918E-2
1.408538926E0	1.087499969E-2	7.511999924E-3	-2.602100000E-2	2.918541077E-2
1.413384693E0	8.891999722E-3	3.775000107E-3	-2.875000006E-3	1.007888436E-2
1.418230311E0	3.282000078E-3	8.490000037E-4	1.678900048E-2	1.712783882E-2
1.423075772E0	-1.332000014E-3	-2.576000057E-3	3.539500013E-2	3.551360351E-2
